City,2011_ulkomaalaistaustaisia,2012_ulkomaalaistaustaisia,2013_ulkomaalaistaustaisia,2014_ulkomaalaistaustaisia,2015_ulkomaalaistaustaisia,2016_ulkomaalaistaustaisia,2017_ulkomaalaistaustaisia,2018_ulkomaalaistaustaisia,2019_ulkomaalaistaustaisia,2020_ulkomaalaistaustaisia,2021_ulkomaalaistaustaisia,2022_ulkomaalaistaustaisia
Rantasalmi,72.0,69.0,76.0,80.0,79.0,79.0,89.0,108.0,110.0,116.0,113.0,142
Savonlinna,959.0,1058.0,1123.0,1147.0,1174.0,1268.0,1236.0,1230.0,1231.0,1272.0,1322.0,1403
Sulkava,43.0,47.0,50.0,59.0,61.0,66.0,67.0,66.0,70.0,77.0,69.0,78
Iisalmi,286.0,327.0,395.0,465.0,500.0,529.0,580.0,601.0,619.0,632.0,639.0,739
Joroinen,84.0,92.0,100.0,110.0,106.0,123.0,132.0,141.0,156.0,173.0,182.0,194
Kaavi,29.0,44.0,47.0,59.0,72.0,64.0,61.0,63.0,52.0,49.0,52.0,52
Keitele,24.0,26.0,26.0,27.0,36.0,38.0,42.0,39.0,33.0,35.0,26.0,40
Kiuruvesi,81.0,88.0,90.0,90.0,91.0,95.0,89.0,102.0,102.0,115.0,120.0,124
Kuopio,2830.0,3186.0,3412.0,3747.0,3998.0,4319.0,4523.0,4766.0,4969.0,5170.0,5611.0,6127
Lapinlahti,125.0,154.0,184.0,200.0,187.0,184.0,193.0,184.0,188.0,192.0,198.0,217
Leppävirta,144.0,151.0,140.0,146.0,148.0,160.0,164.0,178.0,204.0,195.0,193.0,206
Pielavesi,76.0,73.0,71.0,83.0,81.0,80.0,75.0,80.0,82.0,84.0,89.0,88
Rautalampi,48.0,51.0,56.0,53.0,55.0,87.0,98.0,104.0,87.0,79.0,80.0,89
Rautavaara,5.0,6.0,11.0,12.0,10.0,12.0,15.0,16.0,19.0,18.0,16.0,21
Siilinjärvi,217.0,236.0,262.0,279.0,273.0,310.0,290.0,287.0,302.0,328.0,359.0,343
Sonkajärvi,32.0,30.0,53.0,63.0,61.0,54.0,45.0,39.0,26.0,30.0,33.0,36
Suonenjoki,130.0,138.0,137.0,149.0,156.0,165.0,163.0,169.0,158.0,154.0,160.0,162
Tervo,19.0,21.0,21.0,22.0,21.0,26.0,25.0,27.0,27.0,26.0,26.0,30
Tuusniemi,25.0,28.0,34.0,38.0,37.0,40.0,38.0,42.0,43.0,46.0,54.0,52
Varkaus,540.0,589.0,624.0,636.0,642.0,677.0,696.0,683.0,621.0,682.0,698.0,706
Vesanto,33.0,30.0,32.0,33.0,33.0,30.0,37.0,35.0,33.0,33.0,31.0,31
Vieremä,67.0,74.0,77.0,77.0,78.0,85.0,100.0,111.0,99.0,107.0,124.0,133
Heinävesi,47.0,47.0,60.0,65.0,61.0,60.0,75.0,77.0,86.0,79.0,89.0,102
Ilomantsi,126.0,123.0,132.0,132.0,132.0,140.0,151.0,159.0,161.0,160.0,170.0,168
Joensuu,2417.0,2627.0,2877.0,3047.0,3213.0,3513.0,3705.0,3705.0,3870.0,4045.0,4365.0,4918
Juuka,87.0,89.0,92.0,97.0,92.0,100.0,94.0,92.0,94.0,94.0,104.0,111
Kitee,356.0,379.0,418.0,444.0,467.0,520.0,494.0,507.0,522.0,523.0,592.0,641
Kontiolahti,296.0,302.0,294.0,333.0,348.0,364.0,368.0,365.0,345.0,346.0,348.0,363
Lieksa,436.0,495.0,606.0,645.0,491.0,474.0,404.0,424.0,435.0,455.0,509.0,562
Liperi,172.0,177.0,173.0,203.0,207.0,205.0,196.0,217.0,225.0,217.0,229.0,265
Nurmes,132.0,142.0,133.0,139.0,139.0,157.0,153.0,145.0,148.0,190.0,221.0,255
