City,2010_talouksien_keskikoko_te,2011_talouksien_keskikoko_te,2012_talouksien_keskikoko_te,2013_talouksien_keskikoko_te,2014_talouksien_keskikoko_te,2015_talouksien_keskikoko_te,2016_talouksien_keskikoko_te,2017_talouksien_keskikoko_te,2018_talouksien_keskikoko_te,2019_talouksien_keskikoko_te,2020_talouksien_keskikoko_te,2021_talouksien_keskikoko_te
Paltamo,2.1,2.1,2.0,2.0,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.9
Puolanka,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8
Ristijärvi,2.1,2.0,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.9,1.8
Sotkamo,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.0,2.0,2.0,2.0
Suomussalmi,2.1,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.8
Enontekiö,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
Inari,2.1,2.1,2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Kemi,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8
Kemijärvi,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8
Keminmaa,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.1,2.1,2.1
Kittilä,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.0,2.0,2.0,2.0,2.0
Kolari,2.2,2.1,2.1,2.1,2.1,2.1,2.0,2.1,2.0,2.0,2.0,2.0
Muonio,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.1,2.1
Pelkosenniemi,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.9,1.8,1.8,1.8,1.8
Pello,2.1,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.9
Posio,2.2,2.2,2.1,2.1,2.1,2.0,2.0,2.0,2.0,1.9,1.9,1.9
Ranua,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2
Rovaniemi,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.9
Salla,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8
Savukoski,2.1,2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9,2.0,1.9
Simo,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.1
Sodankylä,2.1,2.1,2.1,2.1,2.1,2.1,2.0,2.0,2.0,2.0,1.9,1.9
Tervola,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.0,2.0,2.0,2.0,2.0
